Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"6409";"Berufsschule zur sonderp?dagog. F?rderung";"Alfred-Welker-Berufsschule Staatl. Berufsschule zur sonderpädagogischen Förderung, Förderschwerpunkt Lernen, Nürnberg";"Muggenhofer Str. 105";"90429";"Nürnberg";"www.berufsausbildungswerk.de";"/schule/6409.html"
"6439";"Gewerbliche Berufsfachschule";"Städt. Berufsfachschule für Fertigungstechnik Nürnberg  ";"Fürther Str. 77";"90429";"Nürnberg";"https://www.nuernberg.de/internet/berufsschule_2/";"/schule/6439.html"
"6623";"Grund- u. Mittelschule";"Johann-Daniel-Preißler-Mittelschule Nürnberg  ";"Preißlerstr. 6";"90429";"Nürnberg";"www.preissler-schule.de";"/schule/6623.html"
"6626";"Grund- u. Mittelschule";"Grundschule Nürnberg Reutersbrunnenschule  ";"Reutersbrunnenstr. 12";"90429";"Nürnberg";"www.reutersbrunnenschule.de";"/schule/6626.html"
"6686";"Grund- u. Mittelschule";"Private Wilhelm-Löhe-Grundschule Nürnberg  ";"Deutschherrnstr. 10";"90429";"Nürnberg";"www.loehe-schule.de";"/schule/6686.html"
"6729";"Grund- u. Mittelschule";"Private Wilhelm-Löhe-Mittelschule Nürnberg  ";"Deutschherrnstr. 10";"90429";"Nürnberg";"www.loehe-schule.de";"/schule/6729.html"
"0746";"Realschule";"Johann-Pachelbel-Realschule Staatl. Realschule Nürnberg III  ";"Rothenburger Str. 401";"90431";"Nürnberg";"www.jpr-nuernberg.de";"/schule/0746.html"
"0912";"Fachoberschule";"Private Fachoberschule des Mesale e.V. in Nürnberg  ";"Hasstr. 7";"90431";"Nürnberg";"www.mesale-schule.de";"/schule/0912.html"
"1188";"Fachoberschule";"Staatliche Fachoberschule II Nürnberg  ";"Rothenburger Str. 401";"90431";"Nürnberg";"www.fos2-n.de";"/schule/1188.html"
"6032";"Berufsfachschule f. techn. Assistenzberufe";"Berufsfachschule für chem.-techn. Assistenten Nürnberg der Gemeinn. Gesellschaft Semper Bildungswerk mbH";"Tillystr. 2";"90431";"Nürnberg";"www.tuv.com/schule-nuernberg";"/schule/6032.html"
"6099";"Hauswirtschaftliche Fachschule";"Fachschule für Heilerziehungspflege Nürnberg der Diakoneo KdöR  ";"Wallensteinstr. 61 - 63";"90431";"Nürnberg";"www.heilerziehungspflege-nuernberg.de";"/schule/6099.html"
"6155";"Gewerbliche Fachschule";"Fachschule für Umweltschutz-, Galvano- und Biotechnik Nürnberg der Gemeinnütz. Gesellschaft Semper Bildungswerk mbH";"Tillystr. 2";"90431";"Nürnberg";"www.tuv.com/schule-nuernberg";"/schule/6155.html"
"6335";"Berufsfachschule f. techn. Assistenzberufe";"Berufsfachschule für biologisch- technische Assistenten Nürnberg der Gemeinnütz. Gesellschaft Semper Bildungswerk mbH";"Tillystr. 2";"90431";"Nürnberg";"www.semper-schulen.de/mint-nuernberg";"/schule/6335.html"
"6587";"Grund- u. Mittelschule";"Grundschule Nürnberg Henry-Dunant-Schule  ";"Dunantstr. 10";"90431";"Nürnberg";"www.dunantschule-nuernberg.de";"/schule/6587.html"
"6652";"Grund- u. Mittelschule";"Grundschule Nürnberg Friedrich-Wanderer-Schule  ";"Wandererstr. 170";"90431";"Nürnberg";"www.friedrich-wanderer-schule.de";"/schule/6652.html"
"6003";"Volksschule zur sonderp?dagog. F?rderung";"Bertha-von-Suttner-Schule, Förderzentrum Förderschwerpunkt körperliche und motorische Entwicklung Nürnberg";"Bertha-von-Suttner-Str. 29";"90439";"Nürnberg";"www.k-schule-nuernberg.de";"/schule/6003.html"
"6005";"Volksschule zur sonderp?dagog. F?rderung";"Förderzentrum Förderschwerpunkt Sprache Nürnberg ";"Bertha-von-Suttner-Str. 29";"90439";"Nürnberg";"www.foerderzentrum-sprache-nuernberg.de";"/schule/6005.html"
"6417";"Sonstige Berufsfachschule";"Akademie der Kosmetik Berufsfachschule für Kosmetik und Wellness Tanja Schaile Nürnberg";"Geisseestr. 63";"90439";"Nürnberg";"www.berufsfachschule-kosmetik.de";"/schule/6417.html"
"6619";"Grund- u. Mittelschule";"Grundschule Nürnberg Carl-von-Ossietzky-Schule  ";"Ossietzkystr. 2";"90439";"Nürnberg";"www.cvo-gs.de";"/schule/6619.html"
"6620";"Grund- u. Mittelschule";"Carl-von-Ossietzky-Mittelschule Nürnberg  ";"Ossietzkystr. 2";"90439";"Nürnberg";"ossietzkyschule-nuernberg.de";"/schule/6620.html"
"6639";"Grund- u. Mittelschule";"Grundschule Nürnberg Michael-Ende-Schule  ";"Michael-Ende-Str. 20";"90439";"Nürnberg";"www.ganzleo.nuernberg.de";"/schule/6639.html"
"6641";"Grund- u. Mittelschule";"Mittelschule Nürnberg, St. Leonhard  ";"Schweinauer Str. 20";"90439";"Nürnberg";"www.ms-leo.de";"/schule/6641.html"
"6167";"Fachakademie";"Fachakademie für Sozialpädagogik der Stadt Nürnberg  ";"Am Fernmeldeturm 3";"90441";"Nürnberg";"www.b10.nuernberg.de";"/schule/6167.html"
"6237";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Städt. Berufsfachschule für Kinderpflege Nürnberg  ";"Am Fernmeldeturm 3";"90441";"Nürnberg";"www.b10.nuernberg.de";"/schule/6237.html"
"6316";"Volksschule zur sonderp?dagog. F?rderung";"Jakob-Muth-Schule, Priv. Förderzentrum, Förderschwer- punkt geist. Entwicklung Nürnberg, Lebenshilfe Nürnberg e.V.";"Waldaustr. 21";"90441";"Nürnberg";"www.lebenshilfe-nuernberg.de/sch";"/schule/6316.html"
